brand,screen,procesor,RAM,Disk,Graphic Card,Operation System,Price(zł)
HP,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-11300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,3.599
APPLE,"16.2"", 3456 x 2234px, 120Hz",Apple M1 Pro,16,512 GB SSD,Apple M1 Pro (16 rdzeni),macOS Monterey,11.999
ASUS,"14"", 2560 x 1440px, 120Hz",AMD Ryzen 7 5800HS,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.399
HP,"17.3"", 1920 x 1080px, 144Hz",Intel Core i5-11300H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 11 Home,5.099
DELL,"15.6"", 1920 x 1080px, 165Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Windows 11 Home,6.999
ACER,"17.3"", 2560 x 1440px, 165Hz",AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3080,Windows 10 Home,8.655
HUAWEI,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,Windows 11 Home,2.999
APPLE,"13.3"", 2560 x 1600px",Apple M1,8,256 GB SSD,Apple M1 (8 rdzeni),macOS Big Sur,5.839
LENOVO,"15.6"", 1920 x 1080px, 165Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3060,Windows 11 Home,5.999
LENOVO,"15.6"", 1920 x 1080px, 165Hz",Intel Core i5-11400H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,2.999
LG ELECTRONICS POLSKA SP. Z O.O.,"16"", 2560 x 1600px, 60Hz",Intel Core i7-1165G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,5.714
HP,"16.1"", 1920 x 1080px, 144Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Home,4.299
MSI,"15.6"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,8,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,4.599
DELL,"15.6"", 1920 x 1080px",Intel Core i7-10750H,16,1000 GB SSD,NVIDIA GeForce GTX 1660 Ti,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),7.099
DELL,"15.6"", 1920 x 1080px, 165Hz",Intel Core i7-11800H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Linux,6.299
HP,"15.6"", 1920 x 1080px, Ekran dotykowy, 60Hz",AMD Ryzen 5 5500U,16,512 GB SSD,AMD Radeon Graphics,Windows 11 Home,3.999
ACER,"15.6"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 11 Home,5.799
DELL,"13.3"", 1920 x 1080px, 60Hz",Intel Core i5-11320H,8,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.799
ACER,"13.5"", 2256 x 1504px, Dotykowy",Intel Pentium Gold 6405U,4,64 GB Flash,Intel UHD Graphics,Chrome OS,2.749
HUAWEI,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,3.199
ACER,"15.6"", 1920 x 1080px, 144Hz",Intel Core i5-10300H,16,1000 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,5.199
DELL,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,3.999
LENOVO,"14"", 1920 x 1080px, 60Hz",AMD Ryzen 7 5700U,16,512 GB SSD,AMD Radeon Graphics,Windows 11 Home,3.099
HP,"16.1"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 11 Home,3.399
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Athlon Silver 3050U,4,128 GB SSD,AMD Radeon Graphics,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),1.799
ASUS,"15.6"", 1920 x 1080px, 60Hz",Intel Core i3-1005G1,8,256 GB SSD,Intel UHD Graphics,Windows 11 Home S,1.999
ASUS,"14"", 2880 x 1800px, 90Hz",AMD Ryzen 7 5800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),5.599
ASUS,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-11370H,16,512 GB SSD,NVIDIA GeForce RTX 3060,Windows 11 Home,4.999
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,Windows 11 Home,2.799
ASUS,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-11300H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,3.999
ACER,"14"", 1920 x 1080px, 60Hz",Intel Celeron N4500,4,128 GB Flash,Intel UHD Graphics,Windows 11 Home S,1.399
ASUS,"15.6"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,3.999
ASUS,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 3 3250U,8,256 GB SSD,AMD Radeon Graphics,Windows 11 Home S,1.999
ASUS,"14"", 1366 x 768px, 60Hz",Intel Celeron N4020,4,128 GB SSD,Intel UHD Graphics 600,Windows 11 Home S,1.299
HP,"15.6"", 1920 x 1080px, 60Hz",Intel Core i3-1115G4,8,256 GB SSD,Intel UHD Graphics,Windows 11 Home,2.299
LENOVO,"15.6"", 1920 x 1080px, 165Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,4.549
ACER,"14"", 1920 x 1080px, 60Hz",Intel Celeron N4500,4,128 GB Flash,Intel UHD Graphics,Windows 11 Home S,1.399
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 11 Home,4.199
HUAWEI,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,2.799
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 3 5300U,8,256 GB SSD,AMD Radeon Graphics,Windows 10 Home,2.399
HP,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1155G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,3.099
ACER,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,Windows 11 Home,2.799
HP,"15.6"", 1920 x 1080px, 144Hz",AMD Ryzen 7 5800H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 11 Home,5.299
ACER,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,2.799
APPLE,"14.2"", 3024 x 1964px, 120Hz",Apple M1 Pro,16,512 GB SSD,Apple M1 Pro (14 rdzeni),macOS Monterey,10.799
APPLE,"14.2"", 3024 x 1964px, 120Hz",Apple M1 Pro,16,1000 GB SSD,Apple M1 Pro (16 rdzeni),macOS Monterey,12.399
DELL,"13.3"", 1920 x 1080px, 60Hz",Intel Core i5-10210U,8,512 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),6.695
LENOVO,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.699
DELL,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,16,512 GB SSD,AMD Radeon Graphics,Windows 10 Home,3.499
